Series Name,Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GDP (current US$),Faroe Islands,1067109531,1160268212,1275093689,1501941581,1724770771,1759739599,2017680835,2339015313,2489873250,2296065170,2331796784,2505740669,2427200389,2690110521,2914012679,2573905971,2813278869,2980057378,3188600927,3266432734,3262045883
GDP (current US$),Fiji,1678219508,1652462023,1833279985,2300492465,2708078477,2980403845,3076305453,3378314600,3523185920,2870624636,3140166713,3779411899,3972028104,4189967999,4857104791,4682479912,4930213634,5353469171,5581425325,5444407214,4432466237
GDP (current US$),Finland,1.26E+11,1.30E+11,1.40E+11,1.72E+11,1.97E+11,2.05E+11,2.17E+11,2.56E+11,2.86E+11,2.53E+11,2.49E+11,2.76E+11,2.58E+11,2.71E+11,2.75E+11,2.35E+11,2.41E+11,2.56E+11,2.76E+11,2.69E+11,2.72E+11
GDP (current US$),France,1.37E+12,1.38E+12,1.50E+12,1.84E+12,2.12E+12,2.20E+12,2.32E+12,2.66E+12,2.93E+12,2.70E+12,2.65E+12,2.87E+12,2.68E+12,2.81E+12,2.86E+12,2.44E+12,2.47E+12,2.60E+12,2.79E+12,2.73E+12,2.65E+12
GDP (current US$),French Polynesia,3599845480,3573808556,3965405553,4927780607,5564109982,5705052135,5877997980,6631156406,7136741422,6584557974,6086644799,6203940037,5692858099,6031827123,6151996561,5325846362,5497036477,5833352693,6135116253,6022276196,5792545871
GDP (current US$),Gabon,5080483629,5023265413,5335451100,6511903365,7770219008,9582783991,10327598306,12455409587,15571348344,12113699068,14372593020,18210307744,17170464016,17595744798,18203966896,14383107763,14023890265,14929487485,16867326402,16874405465,15314577155
GDP (current US$),"Gambia, The",782913871.8,687410645.1,578235309.3,487038685,961900651.4,1027701068,1054112488,1279703047,1561766956,1450142509,1543294927,1409693597,1415004738,1375609453,1229461721,1378176609,1484578886,1504909463,1670671328,1813609692,1812170891
GDP (current US$),Georgia,3057475335,3219462262,3395766678,3991377904,5125365192,6410912050,7745250734,10172931089,12795145131,10766920066,12243217071,15107486236,16488822461,17190068236,17627332900,14953673796,15141598623,16242645072,17596922470,17470436259,15842922533
GDP (current US$),Germany,1.95E+12,1.95E+12,2.08E+12,2.50E+12,2.81E+12,2.85E+12,2.99E+12,3.43E+12,3.75E+12,3.41E+12,3.40E+12,3.75E+12,3.53E+12,3.73E+12,3.89E+12,3.36E+12,3.47E+12,3.69E+12,3.97E+12,3.89E+12,3.89E+12
GDP (current US$),Ghana,4982850662,5314872854,6166197848,7632723556,8881417907,10744568381,20885037597,24827339138,28679383241,26048720006,32197655567,39336668081,41271701061,62824629066,54783320577,49406009812,56164928691,60405920072,67298913752,68337974418,70043095504
